Distribution,Outlier,Num_Cat_Feature,Numerical_Feature,Categorical_Feature,Scaler,estimator,Score,Iteration
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1823 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1824 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1825 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1826 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1827 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1828 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1829 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=1, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1830 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1831 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1832 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1833 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1834 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1835 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1836 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1837 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1838 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1839 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1840 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1841 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1842 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1843 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1844 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=2, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1845 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1846 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1847 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1848 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1849 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1850 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1851 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1852 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1853 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1854 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1855 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1856 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1857 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1858 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1859 / 7920 of iteration 3/3]
