Numerical_Imputer,Categorical_Imputer,Encoding,Scaler,Estimator,Score,Iteration
passthrough,passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,-0.02418486402146458, [3 / 50 of iteration 17/20]
passthrough,passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,-0.024184864021464535, [4 / 50 of iteration 17/20]
passthrough,passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,-0.024184864021470798, [5 / 50 of iteration 17/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,-0.024184864021470708, [6 / 50 of iteration 17/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,-0.024184864021463783, [7 / 50 of iteration 17/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,-0.02418486402146458, [8 / 50 of iteration 17/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,-0.024184864021464535, [9 / 50 of iteration 17/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,-0.024184864021470798, [10 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),passthrough,OneHotEncoder(),passthrough,LinearRegression,0.34729184753364156, [11 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,0.3472918475336415, [12 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,0.3472918475336414, [13 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.34729184753364134, [14 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,0.34729184753364173, [15 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,0.34729184753364156, [16 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,0.3472918475336415, [17 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,0.3472918475336414, [18 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.34729184753364134, [19 / 50 of iteration 17/20]
SimpleImputer(strategy='median'),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,0.34729184753364173, [20 / 50 of iteration 17/20]
SimpleImputer(),passthrough,OneHotEncoder(),passthrough,LinearRegression,0.3624043015928592, [21 / 50 of iteration 17/20]
SimpleImputer(),passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,0.36240430159285963, [22 / 50 of iteration 17/20]
SimpleImputer(),passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,0.36240430159285975, [23 / 50 of iteration 17/20]
SimpleImputer(),passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.3624043015928599, [24 / 50 of iteration 17/20]
SimpleImputer(),passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,0.3624043015928596, [25 / 50 of iteration 17/20]
SimpleImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,0.3624043015928592, [26 / 50 of iteration 17/20]
SimpleImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,0.36240430159285963, [27 / 50 of iteration 17/20]
SimpleImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,0.36240430159285975, [28 / 50 of iteration 17/20]
